Datum,Visningar,Visningstid (timmar),Genomsnittlig visningslängd
Totalt,2052,180.6438,0:05:16
2024-09-09,142,14.155,0:05:58
2024-09-08,53,6.8793,0:07:47
2024-09-07,40,3.4588,0:05:11
2024-09-06,57,4.1027,0:04:19
2024-09-05,102,12.0021,0:07:03
2024-09-04,57,4.3334,0:04:33
2024-09-03,54,7.1929,0:07:59
2024-09-02,154,15.2436,0:05:56
2024-09-01,118,11.6331,0:05:54
2024-08-31,53,3.718,0:04:12
2024-08-30,122,11.2746,0:05:32
2024-08-29,96,7.2896,0:04:33
2024-08-28,81,8.8383,0:06:32
2024-08-27,106,10.1035,0:05:43
2024-08-26,117,9.8726,0:05:03
2024-08-25,78,5.6687,0:04:21
2024-08-24,67,2.8824,0:02:34
2024-08-23,99,11.8103,0:07:09
2024-08-22,144,12.1076,0:05:02
2024-08-21,69,3.0468,0:02:38
2024-08-20,82,8.6323,0:06:18
2024-08-19,69,5.4985,0:04:46
2024-08-18,28,0.1658,0:00:21
2024-08-17,61,0.6696,0:00:39
2024-08-16,1,0.0162,0:00:58
2024-08-14,1,0.0466,0:02:47
2024-08-13,1,0.0018,0:00:06
