Datum,Enhetstyp,Visningar
2024-08-13,Dator,1
2024-08-14,Dator,0
2024-08-15,Dator,0
2024-08-16,Dator,1
2024-08-17,Dator,49
2024-08-18,Dator,24
2024-08-19,Dator,56
2024-08-20,Dator,64
2024-08-21,Dator,47
2024-08-22,Dator,96
2024-08-23,Dator,90
2024-08-24,Dator,53
2024-08-25,Dator,66
2024-08-26,Dator,94
2024-08-27,Dator,97
2024-08-28,Dator,73
2024-08-29,Dator,73
2024-08-30,Dator,97
2024-08-31,Dator,33
2024-09-01,Dator,102
2024-09-02,Dator,144
2024-09-03,Dator,43
2024-09-04,Dator,55
2024-09-05,Dator,92
2024-09-06,Dator,56
2024-09-07,Dator,32
2024-09-08,Dator,38
2024-09-09,Dator,118
2024-08-13,Tv,0
2024-08-14,Tv,0
2024-08-15,Tv,0
2024-08-16,Tv,0
2024-08-17,Tv,4
2024-08-18,Tv,2
2024-08-19,Tv,1
2024-08-20,Tv,4
2024-08-21,Tv,11
2024-08-22,Tv,9
2024-08-23,Tv,1
2024-08-24,Tv,1
2024-08-25,Tv,0
2024-08-26,Tv,1
2024-08-27,Tv,0
2024-08-28,Tv,0
2024-08-29,Tv,4
2024-08-30,Tv,4
2024-08-31,Tv,9
2024-09-01,Tv,2
2024-09-02,Tv,0
2024-09-03,Tv,0
2024-09-04,Tv,0
2024-09-05,Tv,3
2024-09-06,Tv,0
2024-09-07,Tv,2
2024-09-08,Tv,1
2024-09-09,Tv,9
2024-08-13,Mobiltelefon,0
2024-08-14,Mobiltelefon,1
2024-08-15,Mobiltelefon,0
2024-08-16,Mobiltelefon,0
2024-08-17,Mobiltelefon,8
2024-08-18,Mobiltelefon,2
2024-08-19,Mobiltelefon,10
2024-08-20,Mobiltelefon,13
2024-08-21,Mobiltelefon,7
2024-08-22,Mobiltelefon,39
2024-08-23,Mobiltelefon,4
2024-08-24,Mobiltelefon,10
2024-08-25,Mobiltelefon,10
2024-08-26,Mobiltelefon,22
2024-08-27,Mobiltelefon,5
2024-08-28,Mobiltelefon,7
2024-08-29,Mobiltelefon,16
2024-08-30,Mobiltelefon,14
2024-08-31,Mobiltelefon,9
2024-09-01,Mobiltelefon,8
2024-09-02,Mobiltelefon,5
2024-09-03,Mobiltelefon,5
2024-09-04,Mobiltelefon,2
2024-09-05,Mobiltelefon,6
2024-09-06,Mobiltelefon,1
2024-09-07,Mobiltelefon,4
2024-09-08,Mobiltelefon,4
2024-09-09,Mobiltelefon,11
2024-08-13,Surfplatta,0
2024-08-14,Surfplatta,0
2024-08-15,Surfplatta,0
2024-08-16,Surfplatta,0
2024-08-17,Surfplatta,0
2024-08-18,Surfplatta,0
2024-08-19,Surfplatta,2
2024-08-20,Surfplatta,1
2024-08-21,Surfplatta,4
2024-08-22,Surfplatta,0
2024-08-23,Surfplatta,4
2024-08-24,Surfplatta,3
2024-08-25,Surfplatta,2
2024-08-26,Surfplatta,0
2024-08-27,Surfplatta,4
2024-08-28,Surfplatta,1
2024-08-29,Surfplatta,2
2024-08-30,Surfplatta,7
2024-08-31,Surfplatta,2
2024-09-01,Surfplatta,6
2024-09-02,Surfplatta,5
2024-09-03,Surfplatta,6
2024-09-04,Surfplatta,0
2024-09-05,Surfplatta,1
2024-09-06,Surfplatta,0
2024-09-07,Surfplatta,2
2024-09-08,Surfplatta,10
2024-09-09,Surfplatta,4
