Datum,Geografi,Visningar
2024-08-13,IN,0
2024-08-14,IN,0
2024-08-15,IN,0
2024-08-16,IN,0
2024-08-17,IN,0
2024-08-18,IN,0
2024-08-19,IN,0
2024-08-20,IN,0
2024-08-21,IN,0
2024-08-22,IN,24
2024-08-23,IN,0
2024-08-24,IN,0
2024-08-25,IN,0
2024-08-26,IN,0
2024-08-27,IN,0
2024-08-28,IN,0
2024-08-29,IN,10
2024-08-30,IN,0
2024-08-31,IN,0
2024-09-01,IN,0
2024-09-02,IN,0
2024-09-03,IN,0
2024-09-04,IN,0
2024-09-05,IN,0
2024-09-06,IN,0
2024-09-07,IN,0
2024-09-08,IN,0
2024-09-09,IN,0
2024-08-13,MT,0
2024-08-14,MT,0
2024-08-15,MT,0
2024-08-16,MT,0
2024-08-17,MT,0
2024-08-18,MT,0
2024-08-19,MT,0
2024-08-20,MT,0
2024-08-21,MT,0
2024-08-22,MT,0
2024-08-23,MT,10
2024-08-24,MT,0
2024-08-25,MT,0
2024-08-26,MT,0
2024-08-27,MT,0
2024-08-28,MT,0
2024-08-29,MT,0
2024-08-30,MT,0
2024-08-31,MT,0
2024-09-01,MT,0
2024-09-02,MT,0
2024-09-03,MT,0
2024-09-04,MT,0
2024-09-05,MT,0
2024-09-06,MT,0
2024-09-07,MT,0
2024-09-08,MT,0
2024-09-09,MT,0
2024-08-13,SE,0
2024-08-14,SE,0
2024-08-15,SE,0
2024-08-16,SE,0
2024-08-17,SE,52
2024-08-18,SE,17
2024-08-19,SE,44
2024-08-20,SE,61
2024-08-21,SE,28
2024-08-22,SE,82
2024-08-23,SE,69
2024-08-24,SE,56
2024-08-25,SE,64
2024-08-26,SE,103
2024-08-27,SE,78
2024-08-28,SE,66
2024-08-29,SE,71
2024-08-30,SE,98
2024-08-31,SE,36
2024-09-01,SE,99
2024-09-02,SE,141
2024-09-03,SE,31
2024-09-04,SE,36
2024-09-05,SE,86
2024-09-06,SE,47
2024-09-07,SE,33
2024-09-08,SE,41
2024-09-09,SE,0
