Datum,Prenumerationsstatus,Visningar
2024-08-13,Prenumererar,0
2024-08-14,Prenumererar,0
2024-08-15,Prenumererar,0
2024-08-16,Prenumererar,0
2024-08-17,Prenumererar,1
2024-08-18,Prenumererar,1
2024-08-19,Prenumererar,7
2024-08-20,Prenumererar,16
2024-08-21,Prenumererar,13
2024-08-22,Prenumererar,39
2024-08-23,Prenumererar,17
2024-08-24,Prenumererar,15
2024-08-25,Prenumererar,15
2024-08-26,Prenumererar,31
2024-08-27,Prenumererar,28
2024-08-28,Prenumererar,22
2024-08-29,Prenumererar,16
2024-08-30,Prenumererar,25
2024-08-31,Prenumererar,29
2024-09-01,Prenumererar,41
2024-09-02,Prenumererar,55
2024-09-03,Prenumererar,12
2024-09-04,Prenumererar,3
2024-09-05,Prenumererar,34
2024-09-06,Prenumererar,11
2024-09-07,Prenumererar,22
2024-09-08,Prenumererar,16
2024-09-09,Prenumererar,44
2024-08-13,Prenumererar inte,1
2024-08-14,Prenumererar inte,1
2024-08-15,Prenumererar inte,0
2024-08-16,Prenumererar inte,1
2024-08-17,Prenumererar inte,60
2024-08-18,Prenumererar inte,27
2024-08-19,Prenumererar inte,62
2024-08-20,Prenumererar inte,66
2024-08-21,Prenumererar inte,56
2024-08-22,Prenumererar inte,105
2024-08-23,Prenumererar inte,82
2024-08-24,Prenumererar inte,52
2024-08-25,Prenumererar inte,63
2024-08-26,Prenumererar inte,86
2024-08-27,Prenumererar inte,78
2024-08-28,Prenumererar inte,59
2024-08-29,Prenumererar inte,80
2024-08-30,Prenumererar inte,97
2024-08-31,Prenumererar inte,24
2024-09-01,Prenumererar inte,77
2024-09-02,Prenumererar inte,99
2024-09-03,Prenumererar inte,42
2024-09-04,Prenumererar inte,54
2024-09-05,Prenumererar inte,68
2024-09-06,Prenumererar inte,46
2024-09-07,Prenumererar inte,18
2024-09-08,Prenumererar inte,37
2024-09-09,Prenumererar inte,98
