Datum,Städer,Ort,Visningar
2024-08-13,0x465f763119640bcb:0xa80d27d3679d7766,"Stockholm, Sverige",0
2024-08-14,0x465f763119640bcb:0xa80d27d3679d7766,"Stockholm, Sverige",0
2024-08-15,0x465f763119640bcb:0xa80d27d3679d7766,"Stockholm, Sverige",0
2024-08-16,0x465f763119640bcb:0xa80d27d3679d7766,"Stockholm, Sverige",0
2024-08-17,0x465f763119640bcb:0xa80d27d3679d7766,"Stockholm, Sverige",0
2024-08-18,0x465f763119640bcb:0xa80d27d3679d7766,"Stockholm, Sverige",0
2024-08-19,0x465f763119640bcb:0xa80d27d3679d7766,"Stockholm, Sverige",10
2024-08-20,0x465f763119640bcb:0xa80d27d3679d7766,"Stockholm, Sverige",0
2024-08-21,0x465f763119640bcb:0xa80d27d3679d7766,"Stockholm, Sverige",0
2024-08-22,0x465f763119640bcb:0xa80d27d3679d7766,"Stockholm, Sverige",0
2024-08-23,0x465f763119640bcb:0xa80d27d3679d7766,"Stockholm, Sverige",0
2024-08-24,0x465f763119640bcb:0xa80d27d3679d7766,"Stockholm, Sverige",0
2024-08-25,0x465f763119640bcb:0xa80d27d3679d7766,"Stockholm, Sverige",0
2024-08-26,0x465f763119640bcb:0xa80d27d3679d7766,"Stockholm, Sverige",0
2024-08-27,0x465f763119640bcb:0xa80d27d3679d7766,"Stockholm, Sverige",0
2024-08-28,0x465f763119640bcb:0xa80d27d3679d7766,"Stockholm, Sverige",0
2024-08-29,0x465f763119640bcb:0xa80d27d3679d7766,"Stockholm, Sverige",0
2024-08-30,0x465f763119640bcb:0xa80d27d3679d7766,"Stockholm, Sverige",0
2024-08-31,0x465f763119640bcb:0xa80d27d3679d7766,"Stockholm, Sverige",0
2024-09-01,0x465f763119640bcb:0xa80d27d3679d7766,"Stockholm, Sverige",0
2024-09-02,0x465f763119640bcb:0xa80d27d3679d7766,"Stockholm, Sverige",0
2024-09-03,0x465f763119640bcb:0xa80d27d3679d7766,"Stockholm, Sverige",0
2024-09-04,0x465f763119640bcb:0xa80d27d3679d7766,"Stockholm, Sverige",0
2024-09-05,0x465f763119640bcb:0xa80d27d3679d7766,"Stockholm, Sverige",0
2024-09-06,0x465f763119640bcb:0xa80d27d3679d7766,"Stockholm, Sverige",0
2024-09-07,0x465f763119640bcb:0xa80d27d3679d7766,"Stockholm, Sverige",0
2024-09-08,0x465f763119640bcb:0xa80d27d3679d7766,"Stockholm, Sverige",0
2024-09-09,0x465f763119640bcb:0xa80d27d3679d7766,"Stockholm, Sverige",0
