Trafikkälla,Visningar,Visningstid (timmar),Genomsnittlig visningslängd,Exponeringar,Klickfrekvens för exponeringar (%)
Totalt,2052,180.6438,0:05:16,17619,2.17
Externt,1008,106.7058,0:06:21,,
Videoförslag,358,28.0251,0:04:41,9112,1.33
Direkt eller okänd,226,23.7659,0:06:18,,
Bläddringsfunktioner,178,3.9175,0:01:19,4670,1.65
YouTube-sökning,118,5.3163,0:02:42,1425,5.96
Kanalsidorna,107,7.5356,0:04:13,2402,4.04
Andra YouTube-funktioner,41,5.1298,0:07:30,,
Aviseringar,13,0.0421,0:00:11,,
Spellistor,3,0.2058,0:04:06,10,20
